vendor_id,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd,dropoff_longitude,dropoff_latitude,fare_amount,trip_time,year,month,day,day_of_week,is_weekend,hour,h_distance
1,1,1.3,-73.964,40.77,1,0,-73.978,40.762,9.0,681,2016,5,16,2,0,20,1.4538898140834702
1,1,1.3,-73.962,40.713,1,0,-73.944,40.711,6.5,406,2016,1,20,4,0,23,1.5332748950073525
1,1,1.3,-73.962,40.76,1,0,-73.95,40.776,6.0,307,2016,5,20,6,0,23,2.0663929610736322
1,1,1.3,-73.962,40.779,1,0,-73.958,40.765,7.5,492,2016,5,21,7,1,16,1.5261520682593723
1,1,1.3,-73.959,40.764,1,0,-73.972,40.752,7.0,481,2016,6,4,7,1,20,1.7218200185951344
1,1,1.3,-73.958,40.769,1,0,-73.952,40.784,6.5,327,2016,1,21,5,0,12,1.748501848002548
1,1,1.4,-74.015,40.714,1,0,-74.008,40.731,6.5,296,2016,1,21,5,0,10,1.9979796770941025
1,1,1.4,-74.008,40.723,1,0,-73.996,40.739,7.0,395,2016,6,4,7,1,18,1.9601691502633112
1,1,1.4,-74.002,40.736,1,0,-74.005,40.716,7.0,386,2016,1,31,1,1,22,2.162347844593166
1,1,1.4,-74.001,40.732,1,0,-73.992,40.749,7.0,405,2016,5,11,4,0,22,2.041527698467413
1,1,1.4,-73.997,40.742,1,0,-73.997,40.725,9.5,767,2016,5,21,7,1,16,1.8944161135216848
1,1,1.4,-73.995,40.728,1,0,-74.011,40.713,6.5,305,2016,1,20,4,0,22,2.0792411247854576
1,1,1.4,-73.994,40.682,1,0,-73.983,40.673,7.0,442,2016,5,14,7,1,22,1.3458729215537522
1,1,1.4,-73.994,40.746,1,0,-73.999,40.728,13.0,1160,2016,5,25,4,0,9,1.9833455374145195
1,1,1.4,-73.992,40.749,1,0,-73.984,40.759,7.0,412,2016,5,11,4,0,2,1.284714809139737
1,1,1.4,-73.991,40.751,1,0,-73.979,40.763,6.0,246,2016,1,21,5,0,6,1.705070516641663
1,1,1.4,-73.99,40.729,1,0,-73.978,40.746,10.0,756,2016,5,21,7,1,14,2.181742553092448
1,1,1.4,-73.99,40.733,1,0,-73.981,40.723,9.0,734,2016,5,21,7,1,23,1.3411128535755634
1,1,1.4,-73.99,40.734,1,0,-73.98,40.722,7.0,371,2016,6,4,7,1,10,1.5458535160407498
1,1,1.4,-73.986,40.759,1,1,-73.964,40.757,10.0,839,2016,1,20,4,0,18,1.8425941230827507
1,1,1.4,-73.985,40.746,1,0,-73.996,40.759,10.5,933,2016,5,11,4,0,15,1.720535565279222
1,1,1.4,-73.983,40.739,1,0,-73.971,40.757,10.0,772,2016,1,21,5,0,8,2.234763795325053
1,1,1.4,-73.982,40.761,1,0,-73.991,40.747,7.5,481,2016,1,20,4,0,22,1.7418436548589566
1,1,1.4,-73.982,40.776,1,0,-73.971,40.794,7.0,370,2016,6,4,7,1,21,2.232554184309166
1,1,1.4,-73.981,40.759,1,0,-73.976,40.776,7.5,450,2016,5,21,7,1,13,1.8766339082932144
1,1,1.4,-73.98,40.744,1,0,-73.966,40.76,10.0,771,2016,5,21,7,1,14,2.116749259728365
1,1,1.4,-73.98,40.785,1,0,-73.964,40.775,8.0,535,2016,5,15,1,1,17,1.7128118237448624
1,1,1.4,-73.979,40.75,1,0,-73.989,40.763,8.0,559,2016,5,21,7,1,15,1.664481439010734
1,1,1.4,-73.979,40.762,1,0,-73.959,40.764,8.5,642,2016,5,11,4,0,21,1.6769066016194352
1,1,1.4,-73.979,40.787,1,0,-73.988,40.77,8.0,548,2016,1,20,4,0,11,2.0091456088377626
1,1,1.4,-73.979,40.788,1,0,-73.958,40.779,7.5,417,2016,5,24,3,0,22,1.9860687830433177
1,1,1.4,-73.978,40.764,1,0,-73.973,40.78,6.5,277,2016,5,21,7,1,7,1.825897999236818
1,1,1.4,-73.975,40.752,1,0,-73.986,40.735,8.5,628,2016,1,21,5,0,9,2.0902803940330448
1,1,1.4,-73.974,40.752,1,0,-73.972,40.763,9.5,1359,2016,5,16,2,0,11,1.2952364309131053
1,1,1.4,-73.974,40.755,1,0,-73.991,40.751,6.0,303,2016,5,24,3,0,23,1.5069016634156498
